,project,actual_effort,size_ucp,F1,F2,F3,F4,F5,F6,F7,F8,cluster
0,1,1430,130,4,3,3,4,4,3,3,0,0
1,2,1445,85,3,3,3,3,3,4,3,0,0
2,3,4895,275,4,4,4,5,4,4,2,0,0
3,4,2420,110,3,2,2,3,3,3,4,0,0
4,10,1664,128,4,4,4,4,4,2,3,0,0
5,11,3630,110,3,2,3,2,3,3,4,0,0
6,12,3915,145,4,4,4,4,4,4,2,0,0
7,14,1440,90,3,3,3,3,3,3,3,0,0
8,16,1617,98,4,4,4,4,4,4,3,0,0
9,20,1050,75,4,4,3,3,4,2,2,0,0
10,21,1218,84,3,3,5,4,3,5,2,0,0
11,22,2465,145,3,2,3,4,3,5,2,0,0
12,23,3875,155,2,3,3,3,2,2,4,0,0
13,25,7952,284,4,4,4,3,4,4,3,0,0
14,29,4338,241,5,4,4,4,5,4,2,0,0
15,30,5040,210,5,3,3,3,5,3,3,1,0
16,31,6292,286,3,3,3,4,3,3,3,0,0
17,39,3828,174,3,2,3,4,3,3,3,0,0
18,40,3213,189,3,4,2,5,3,3,4,0,0
19,44,2058,98,5,2,3,3,5,4,3,4,0
20,45,3096,129,3,2,4,4,3,4,2,1,0
21,46,2384,149,3,4,3,3,3,3,2,0,0
22,47,3528,196,4,5,3,3,4,3,3,0,0
23,48,4992,208,4,4,4,2,4,3,3,0,0
24,49,4165,245,4,3,3,3,4,3,2,0,0
25,50,2646,147,4,3,4,4,4,4,4,1,0
26,51,4450,178,4,3,4,3,4,4,3,1,0
27,62,4032,168,2,2,3,3,2,3,1,0,0
28,63,4536,189,2,3,4,4,2,3,1,0,0
29,64,3915,174,3,4,4,3,3,3,4,0,0
30,65,4708,214,4,3,4,2,4,3,3,0,0
31,66,6993,259,5,3,2,4,5,3,2,0,0
32,68,4848,202,3,4,3,1,3,3,4,1,0
33,69,3654,174,4,4,3,3,4,3,2,1,0
34,71,3128,184,4,3,4,4,4,3,1,1,0
35,72,3485,198,5,2,4,3,5,3,1,0,0
36,73,6604,254,3,3,4,4,3,3,2,0,0
37,74,5568,232,3,4,4,2,3,3,1,0,0
38,81,2156,98,4,3,4,2,4,3,3,1,0
39,82,2162,94,4,4,4,2,4,3,3,0,0
40,83,1258,74,4,4,4,3,4,4,3,0,0
41,84,1173,69,5,4,4,3,5,4,4,0,0
42,85,1098,61,3,4,5,4,3,2,3,0,0
43,86,1428,84,3,3,3,4,3,2,3,1,0
44,87,1584,88,3,3,3,3,3,3,3,1,0
45,96,1955,85,3,3,3,4,3,3,3,0,0
46,97,1840,80,3,2,4,3,3,3,3,0,0
47,98,3784,172,4,3,2,3,4,4,4,1,0
48,100,1632,96,3,3,3,4,3,4,4,0,0
49,101,1666,98,3,3,3,4,3,4,4,0,0
50,102,1653,87,4,4,3,4,4,4,4,0,0
51,103,1472,64,2,4,4,5,2,4,2,0,0
52,108,1911,91,3,2,3,2,3,5,3,1,0
53,109,1110,74,3,2,3,4,3,4,2,1,0
54,110,3615,241,3,4,3,4,3,4,4,0,0
55,111,2632,188,2,3,3,3,2,4,4,0,0
56,112,3472,124,2,3,4,3,2,4,3,0,0
57,118,6072,264,4,2,3,3,4,2,4,0,0
58,6,1265,55,3,3,2,2,3,2,4,3,1
59,7,1240,40,2,2,2,3,2,4,4,4,1
60,8,1950,78,3,4,3,3,3,3,3,4,1
61,9,967,52,3,2,2,3,3,2,4,3,1
62,15,1334,58,1,3,1,1,1,4,4,5,1
63,19,1050,75,4,4,4,4,4,4,3,4,1
64,24,1116,62,3,4,2,2,3,2,3,4,1
65,28,3248,112,3,2,2,2,3,3,4,4,1
66,33,2754,102,4,3,4,5,4,3,2,5,1
67,34,2736,114,3,3,5,4,3,4,4,5,1
68,35,2212,79,3,2,3,3,3,4,4,5,1
69,36,1512,84,2,4,2,3,2,4,4,5,1
70,38,2772,154,3,3,2,4,3,3,3,4,1
71,41,3666,141,3,3,2,2,3,3,2,3,1
72,42,2904,132,4,3,4,2,4,4,2,3,1
73,43,2880,120,4,2,4,2,4,4,4,4,1
74,54,2156,98,3,4,4,4,3,3,4,5,1
75,55,1976,104,4,4,4,4,4,3,3,5,1
76,56,1496,68,4,3,4,4,4,3,3,5,1
77,57,2162,94,4,3,4,2,4,3,4,5,1
78,59,2850,114,3,3,3,2,3,4,2,5,1
79,78,1482,78,3,3,3,3,3,4,4,5,1
80,79,1443,74,3,3,3,4,3,4,4,5,1
81,80,1365,65,3,3,3,1,3,3,3,5,1
82,90,2832,118,4,2,2,3,4,3,4,5,1
83,91,2256,94,4,3,3,2,4,3,4,5,1
84,95,1985,81,3,3,3,2,3,3,4,2,1
85,104,1276,58,4,4,4,3,4,3,2,5,1
86,105,2162,94,4,3,3,3,4,3,3,5,1
87,106,2064,86,4,3,2,3,4,3,3,5,1
88,107,1454,57,3,3,4,2,3,5,3,5,1
89,113,1734,102,5,2,2,4,5,3,3,5,1
90,115,2832,118,3,3,3,3,3,3,4,5,1
91,117,3060,170,4,2,3,3,4,4,1,5,1
92,18,1984,64,1,1,2,2,1,2,4,5,2
93,26,2697,87,2,1,2,2,2,2,4,5,2
94,37,2064,86,2,1,3,3,2,4,4,5,2
95,92,2716,97,2,1,2,2,2,3,3,5,2
