project_id,actual,size,actualPF,f1,f2,f3,f4,f5,f6,f7,f8
0,2124,118,18,2,2,2,2,2,3,4,0
1,1430,130,11,4,3,3,4,4,3,3,0
2,1445,85,17,3,3,3,3,3,4,3,0
3,4895,275,17.8,4,4,4,5,4,4,2,0
4,2420,110,22,3,2,2,3,3,3,4,0
5,2080,65,32,2,2,2,2,2,3,3,4
6,1265,55,23,3,3,2,2,3,2,4,3
7,1240,40,31,2,2,2,3,2,4,4,4
8,1950,78,25,3,4,3,3,3,3,3,4
9,967,52,18.6,3,2,2,3,3,2,4,3
10,1664,128,13,4,4,4,4,4,2,3,0
11,3630,110,33,3,2,3,2,3,3,4,0
12,3915,145,27,4,4,4,4,4,4,2,0
13,1553,135,11.5,2,1,3,1,2,3,3,0
14,1440,90,16,3,3,3,3,3,3,3,0
15,1334,58,23,1,3,1,1,1,4,4,5
16,1617,98,16.5,4,4,4,4,4,4,3,0
17,2875,125,23,1,2,3,3,1,4,4,0
18,1984,64,31,1,1,2,2,1,2,4,5
19,1050,75,14,4,4,4,4,4,4,3,4
20,1050,75,14,4,4,3,3,4,2,2,0
21,1218,84,14.5,3,3,5,4,3,5,2,0
22,2465,145,17,3,2,3,4,3,5,2,0
23,3875,155,25,2,3,3,3,2,2,4,0
24,1116,62,18,3,4,2,2,3,2,3,4
25,7952,284,28,4,4,4,3,4,4,3,0
26,2697,87,31,2,1,2,2,2,2,4,5
27,696,58,12,2,2,2,2,2,3,3,5
28,3248,112,29,3,2,2,2,3,3,4,4
29,4338,241,18,5,4,4,4,5,4,2,0
30,5040,210,24,5,3,3,3,5,3,3,1
31,6292,286,22,3,3,3,4,3,3,3,0
32,2871,87,33,2,3,4,3,2,3,3,5
33,2754,102,27,4,3,4,5,4,3,2,5
34,2736,114,24,3,3,5,4,3,4,4,5
35,2212,79,28,3,2,3,3,3,4,4,5
36,1512,84,18,2,4,2,3,2,4,4,5
37,2064,86,24,2,1,3,3,2,4,4,5
38,2772,154,18,3,3,2,4,3,3,3,4
39,3828,174,22,3,2,3,4,3,3,3,0
40,3213,189,17,3,4,2,5,3,3,4,0
41,3666,141,26,3,3,2,2,3,3,2,3
42,2904,132,22,4,3,4,2,4,4,2,3
43,2880,120,24,4,2,4,2,4,4,4,4
44,2058,98,21,5,2,3,3,5,4,3,4
